"Sentiment (1-negative, 2-neutral, 3-positive)"	Sentence
	"The place where we’re seeing a lot of excitement, and we talked about that in the past and we’re seeing growth there, has to do with the vertical industry enterprises that are starting to adopt AI to create new products, whether it’s a delivery robot or some kind of a Chat Bot or the ability to detect fraud in financial services, these applications in vertical industries are really spreading all over the place."
	"So, we feel really good."
	That's for sure.
	One example of this is our work on public conversation health.
	Stacy Rasgon Hi guys.
	And we will now turn it back to Mr. Winoker for closing remarks.
	It's not like after that we stop.
	"As I - as I mentioned in my opening remarks, we have been experimenting with both interest and topics, more broadly."
	And you're going to have to dig in a little harder and it's not going to be as easy to some of these gains?
	This outlook reflects approximately $200 million in FX headwind for the full year.
	"Adjusted for these items, we are very pleased to deliver robust organic constant currency revenue growth across each of our clouds in Q2."
	But that is remixing to higher margin.
	"With that, we'll open up the call for your questions."
	Some of that is volume.
	"Year-to-date Industrial free cash flow was negative $1.6 billion, down $1.3 billion due to many of the same pressures we saw in the second quarter including the onshore wind ramp execution and 737 MAX grounding."
